,lock,i,company,flight_number,departure_time,source_city,travel_time,stops,arrival_time,days,destination_city,ticket_price,view,offer
0,Lock This Price,i,Akasa Air,QP 1417,14:20,Goa,01 h 15 m,Non stop,15:35,Hyderabad,"₹ 3,000",VIEW PRICES,Get Rs 749 off using MMTSUPER,View Flight Details
0,Lock This Price,i,Go First,G8 2123,10:35,Goa,01 h 20 m,Non stop,11:55,Hyderabad,"₹ 3,001",VIEW PRICES,Use MMTBONUS and get FLAT Rs. 1023 instant discount on this flight,View Flight Details
0,Lock This Price,i,SpiceJet,SG 4008,22:05,Goa,01 h 35 m,Non stop,23:40,Hyderabad,"₹ 3,356",VIEW PRICES,Get Rs 999 off using MMTSUPER,View Flight Details
0,Lock This Price,i,AirAsia,"I5 819, I5 1983",07:15,Goa,09 h 35 m,1 stop via Bengaluru,16:50,Hyderabad,"₹ 4,379",VIEW PRICES,Get Rs 999 off using MMTSUPER,View Flight Details
0,Lock This Price,i,AirAsia,"I5 1575, I5 1983",05:55,Goa,10 h 55 m,1 stop via Bengaluru,16:50,Hyderabad,"₹ 4,379",VIEW PRICES,Get Rs 999 off using MMTSUPER,View Flight Details
0,Lock This Price,i,IndiGo,"6E 6584, 6E 855",12:05,Goa,09 h 20 m,1 stop via Bengaluru,21:25,Hyderabad,"₹ 4,380",VIEW PRICES,Use MMTOFFER and get FLAT Rs. 699 instant discount on this flight,View Flight Details
0,Lock This Price,i,AirAsia,I5 1518,19:15,Goa,01 h 10 m,Non stop,20:25,Hyderabad,"₹ 4,561",VIEW PRICES,Get Rs 999 off using MMTSUPER,View Flight Details
